TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, 302, 5,  3
100, 30, 0, 0, -1, 8,  -11
200, 58, 0, 0, -1, -7,  13
299, 80, 0, 0, 47, -1,  -11
399, 94, 0, 0, 60, -10,  5
500, 99, 0, 0, 90, 5,  -4
600, 95, 0, 0, 90, -4,  9
700, 80, 0, 0, 90, 5,  15
801, 58, 0, 0, 90, -4,  2
900, 31, 0, 0, 81, -7,  -15
999, 0, 0, 0, 44, 19,  3
1100, -30, 0, 0, 27, 11,  -13
1200, -58, 0, 0, -18, -4,  9
1300, -80, 0, 0, -19, 11,  -38
1401, -95, 0, 0, -80, -21,  19
1501, -99, 0, 0, -82, 2,  -4
1601, -95, 0, 0, -94, -4,  -7
1702, -80, 0, 0, -94, 8,  -8
1802, -58, 0, 0, -94, 11,  5
1902, -30, 0, 0, -76, 5,  2
2002, 0, 0, 0, -49, -7,  5
2101, 30, 0, 0, -29, 43,  19
2200, 58, 0, 0, 16, -18,  -12
2300, 80, 0, 0, 34, -10,  8
2399, 94, 0, 0, 72, -16,  -7
2498, 99, 0, 0, 72, 5,  21
2599, 95, 0, 0, 105, 8,  -10
2699, 81, 0, 0, 102, -1,  -10
2799, 59, 0, 0, 102, -7,  -22
2900, 31, 0, 0, 69, -10,  -3
3000, 0, 0, 0, 67, 5,  -31
3100, -30, 0, 0, 5, 14,  23
3200, -58, 0, 0, -1, 2,  -15
3300, -80, 0, 0, -46, -13,  10
3401, -95, 0, 0, -59, -1,  -7
3501, -99, 0, 0, -90, 8,  0
3601, -95, 0, 0, -89, -1,  -15
3701, -81, 0, 0, -89, -1,  -19
3800, -59, 0, 0, -89, 11,  -6
3899, -31, 0, 0, -81, -1,  8
3999, 0, 0, 0, -48, 28,  0
4098, 29, 0, 0, -29, 2,  14
4198, 57, 0, 0, 14, 14,  -9
4299, 80, 0, 0, 35, -1,  4
4399, 94, 0, 0, 69, 8,  -7
4499, 99, 0, 0, 74, 5,  13
4600, 95, 0, 0, 104, 46,  -10
4700, 81, 0, 0, 104, -7,  -13
4800, 59, 0, 0, 104, -4,  -25
4901, 31, 0, 0, 68, -7,  2
5001, 0, 0, 0, 67, -7,  -31
5101, -30, 0, 0, 5, 16,  22
5201, -58, 0, 0, 0, 16,  -15
5300, -80, 0, 0, -47, -18,  12
5399, -94, 0, 0, -57, 5,  -16
5499, -99, 0, 0, -91, -4,  4
5598, -95, 0, 0, -92, -7,  -8
5698, -81, 0, 0, -92, -10,  -14
5799, -59, 0, 0, -92, -10,  -2
5899, -32, 0, 0, -80, -18,  8
5999, -1, 0, 0, -48, 16,  0
6100, 29, 0, 0, -30, -10,  13
6200, 57, 0, 0, 12, 25,  -7
6300, 80, 0, 0, 36, -10,  -2
6400, 94, 0, 0, 67, 11,  -3
6500, 99, 0, 0, 82, -1,  3
6601, 95, 0, 0, 96, -16,  -1
6701, 81, 0, 0, 96, 2,  4
6800, 59, 0, 0, 96, -4,  -9
6900, 31, 0, 0, 76, 11,  -5
6999, 1, 0, 0, 51, 31,  -5
7099, -29, 0, 0, 22, -39,  -3
7200, -57, 0, 0, -9, 16,  4
7300, -80, 0, 0, -38, 2,  -7
7400, -94, 0, 0, -58, -48,  -10
7501, -99, 0, 0, -90, 22,  7
7601, -95, 0, 0, -89, 8,  -13
7701, -81, 0, 0, -89, -4,  -19
7802, -59, 0, 0, -89, -13,  -7
7902, -31, 0, 0, -81, -1,  8
8002, 0, 0, 0, -47, 22,  -1
8102, 30, 0, 0, -31, 16,  20
8201, 57, 0, 0, 15, -1,  -10
8300, 80, 0, 0, 35, 14,  5
8400, 94, 0, 0, 68, 8,  -5
8499, 99, 0, 0, 79, 2,  9
8599, 95, 0, 0, 99, 8,  -7
8700, 81, 0, 0, 99, 2,  -4
8800, 59, 0, 0, 99, 8,  -16
8900, 32, 0, 0, 72, -1,  3
9001, 1, 0, 0, 60, 8,  -15
9101, -29, 0, 0, 14, 22,  7
9201, -57, 0, 0, 0, -36,  -18
9300, -80, 0, 0, -47, 5,  17
9399, -94, 0, 0, -55, -10,  -15
9498, -99, 0, 0, -92, -13,  6
9598, -95, 0, 0, -93, 11,  -6
9697, -82, 0, 0, -93, 2,  -11
9796, -61, 0, 0, -93, 5,  2
9896, -33, 0, 0, -80, -4,  7
