TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, -1, -1,  0
40, 49, 0, 0, -25, -4,  23
80, 96, 0, 0, -4, 112,  88
120, 136, 0, 0, 68, 267,  -9
160, 168, 0, 0, 135, 75,  -55
200, 190, 0, 0, 143, -27,  4
239, 199, 0, 0, 167, 147,  29
279, 196, 0, 0, 213, 83,  -55
320, 181, 0, 0, 213, -71,  -53
360, 154, 0, 0, 186, -56,  4
400, 117, 0, 0, 174, 2,  -10
440, 73, 0, 0, 151, -106,  -43
480, 25, 0, 0, 97, -167,  2
521, -25, 0, 0, 46, -100,  10
561, -74, 0, 0, 12, -91,  -16
601, -118, 0, 0, -41, -164,  -2
641, -154, 0, 0, -102, -155,  15
681, -181, 0, 0, -142, -88,  24
721, -196, 0, 0, -163, -36,  -2
761, -199, 0, 0, -187, -91,  -5
801, -189, 0, 0, -208, -18,  22
841, -168, 0, 0, -200, 34,  15
880, -137, 0, 0, -185, 25,  14
919, -97, 0, 0, -161, 80,  9
959, -51, 0, 0, -127, 118,  13
1000, 0, 0, 0, -84, 142,  6
1040, 49, 0, 0, -29, 165,  -3
1080, 95, 0, 0, 24, 118,  -13
1120, 136, 0, 0, 66, 101,  -8
1160, 168, 0, 0, 110, 130,  1
1200, 189, 0, 0, 158, 101,  -21
1240, 199, 0, 0, 180, 22,  -11
1280, 196, 0, 0, 189, 46,  12
1320, 181, 0, 0, 203, 34,  -13
1360, 154, 0, 0, 200, -13,  -35
1400, 118, 0, 0, 176, -91,  -14
1441, 73, 0, 0, 137, -91,  4
1481, 24, 0, 0, 105, -74,  -8
1520, -24, 0, 0, 57, -175,  -2
1559, -71, 0, 0, -5, -146,  14
1599, -115, 0, 0, -42, -91,  0
1640, -153, 0, 0, -84, -135,  -15
1680, -180, 0, 0, -137, -143,  24
1721, -196, 0, 0, -175, -45,  19
1761, -199, 0, 0, -180, -10,  -18
1802, -189, 0, 0, -199, -91,  -1
1842, -168, 0, 0, -209, 14,  41
1882, -135, 0, 0, -183, 89,  7
1922, -95, 0, 0, -155, 60,  -4
1962, -48, 0, 0, -131, 72,  36
2002, 1, 0, 0, -86, 150,  15
2042, 50, 0, 0, -21, 200,  -25
2083, 98, 0, 0, 30, 63,  -22
2123, 138, 0, 0, 58, 89,  26
2163, 170, 0, 0, 116, 208,  -11
2202, 190, 0, 0, 169, 40,  -39
2242, 199, 0, 0, 173, -18,  7
2282, 196, 0, 0, 189, 89,  16
2322, 180, 0, 0, 212, 28,  -42
2362, 153, 0, 0, 199, -88,  -33
2402, 116, 0, 0, 168, -97,  -2
2442, 72, 0, 0, 141, -33,  -6
2482, 24, 0, 0, 107, -117,  -21
2523, -27, 0, 0, 47, -173,  6
2563, -75, 0, 0, -2, -82,  7
2603, -119, 0, 0, -37, -126,  -23
2643, -155, 0, 0, -95, -202,  -3
2683, -181, 0, 0, -148, -123,  45
2723, -196, 0, 0, -170, 5,  10
2763, -199, 0, 0, -178, -50,  -31
2803, -189, 0, 0, -206, -91,  14
2842, -168, 0, 0, -207, 51,  39
2882, -136, 0, 0, -179, 66,  -7
2922, -95, 0, 0, -159, 22,  4
2963, -47, 0, 0, -132, 110,  44
3003, 1, 0, 0, -83, 165,  11
3043, 51, 0, 0, -19, 159,  -27
3083, 97, 0, 0, 26, 43,  -15
3123, 138, 0, 0, 58, 121,  29
3163, 169, 0, 0, 120, 171,  -16
3203, 190, 0, 0, 165, 43,  -34
3243, 199, 0, 0, 172, 14,  12
3283, 196, 0, 0, 191, 83,  15
3323, 180, 0, 0, 212, -4,  -50
3363, 153, 0, 0, 198, -85,  -27
3404, 115, 0, 0, 167, -82,  1
3444, 70, 0, 0, 144, -50,  -11
3483, 23, 0, 0, 104, -135,  -17
3522, -25, 0, 0, 43, -164,  15
3562, -73, 0, 0, 1, -100,  6
3602, -117, 0, 0, -36, -132,  -20
3642, -154, 0, 0, -92, -190,  -11
3682, -181, 0, 0, -146, -112,  44
3722, -196, 0, 0, -169, -7,  12
3762, -199, 0, 0, -179, -53,  -27
3802, -190, 0, 0, -205, -74,  13
3842, -168, 0, 0, -206, 46,  32
3882, -136, 0, 0, -181, 80,  -2
3922, -96, 0, 0, -159, 28,  4
3962, -49, 0, 0, -131, 98,  35
4003, 1, 0, 0, -84, 142,  8
4043, 50, 0, 0, -23, 176,  -18
4083, 97, 0, 0, 26, 92,  -17
4122, 136, 0, 0, 62, 115,  9
4162, 168, 0, 0, 115, 168,  -11
4202, 190, 0, 0, 162, 80,  -30
4242, 199, 0, 0, 173, -1,  9
4282, 196, 0, 0, 190, 78,  15
