TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
0, 0, 0, 0, -1, -7,  -96
100, 316, 0, 0, -1, 5,  -98
200, 601, 0, 0, -1, -7,  -101
299, 826, 0, 0, -1, 2,  -103
398, 971, 0, 0, -1, -1,  -97
497, 1023, 0, 0, -1, 8,  -94
596, 978, 0, 0, -1, -1,  -106
695, 838, 0, 0, -1, 2,  -102
794, 618, 0, 0, -1, -4,  -99
895, 333, 0, 0, -1, 2,  -97
995, 17, 0, 0, -1, 8,  -102
1096, -302, 0, 0, -1, 5,  -105
1196, -589, 0, 0, -1, 2,  -100
1296, -819, 0, 0, -1, 8,  -104
1397, -970, 0, 0, -1, -1,  -98
1497, -1023, 0, 0, -1, 2,  -102
1597, -977, 0, 0, -1, -10,  -102
1698, -833, 0, 0, -1, -7,  -98
1798, -609, 0, 0, -1, -4,  -103
1898, -325, 0, 0, -1, 2,  -100
1999, -6, 0, 0, -1, 2,  -98
2099, 310, 0, 0, -1, 5,  -99
2199, 596, 0, 0, -1, 2,  -101
2300, 826, 0, 0, -1, 5,  -98
2399, 971, 0, 0, -1, -13,  -100
2499, 1023, 0, 0, -1, -1,  -98
2600, 975, 0, 0, -1, 5,  -102
2699, 832, 0, 0, -1, -1,  -101
2798, 610, 0, 0, -1, 5,  -101
2899, 323, 0, 0, -1, -13,  -101
2999, 8, 0, 0, -1, 14,  -104
3098, -305, 0, 0, -1, -1,  -95
3198, -592, 0, 0, -1, -7,  -103
3297, -819, 0, 0, -1, -7,  -101
3396, -968, 0, 0, -1, -1,  -98
3496, -1023, 0, 0, -1, 14,  -98
3596, -979, 0, 0, -1, -4,  -98
3695, -841, 0, 0, -1, -1,  -100
3795, -619, 0, 0, -1, 2,  -99
3894, -340, 0, 0, -1, 2,  -100
3993, -29, 0, 0, -1, 14,  -100
4093, 288, 0, 0, -1, 5,  -97
4192, 575, 0, 0, -1, 5,  -101
4291, 806, 0, 0, -1, -7,  -99
4391, 962, 0, 0, -1, -4,  -99
4490, 1023, 0, 0, -1, -1,  -97
4589, 986, 0, 0, -1, -1,  -100
4689, 852, 0, 0, -1, -1,  -98
4788, 638, 0, 0, -1, -7,  -96
4887, 363, 0, 0, -1, 5,  -99
4987, 49, 0, 0, -1, -13,  -104
5086, -265, 0, 0, -1, 2,  -100
5185, -555, 0, 0, -1, -1,  -100
5285, -793, 0, 0, -1, -10,  -100
5384, -953, 0, 0, -1, 8,  -103
5483, -1022, 0, 0, -1, 5,  -101
5583, -991, 0, 0, -1, -10,  -99
5683, -864, 0, 0, -1, -1,  -100
5783, -652, 0, 0, -1, -1,  -96
5883, -376, 0, 0, -1, 8,  -101
5982, -67, 0, 0, -1, -1,  -97
6081, 248, 0, 0, -1, -4,  -106
6181, 542, 0, 0, -1, -10,  -98
6280, 782, 0, 0, -1, 14,  -105
6379, 946, 0, 0, -1, 2,  -97
6479, 1021, 0, 0, -1, 2,  -103
6578, 995, 0, 0, -1, 8,  -104
6677, 875, 0, 0, -1, -13,  -98
6778, 666, 0, 0, -1, 8,  -106
6877, 396, 0, 0, -1, -1,  -99
6976, 88, 0, 0, -1, -4,  -97
7076, -230, 0, 0, -1, 11,  -104
7175, -525, 0, 0, -1, -1,  -100
7274, -768, 0, 0, -1, -7,  -98
7374, -940, 0, 0, -1, -7,  -101
7473, -1019, 0, 0, -1, 2,  -99
7572, -1000, 0, 0, -1, -13,  -103
7673, -882, 0, 0, -1, -16,  -93
7773, -679, 0, 0, -1, -10,  -98
7873, -409, 0, 0, -1, -4,  -99
7974, -96, 0, 0, -1, -7,  -98
8073, 219, 0, 0, -1, -7,  -104
8172, 515, 0, 0, -1, -10,  -98
8272, 763, 0, 0, -1, -10,  -100
8371, 935, 0, 0, -1, 2,  -99
8470, 1018, 0, 0, -1, 11,  -102
8571, 1001, 0, 0, -1, -16,  -105
8671, 886, 0, 0, -1, 2,  -103
8771, 685, 0, 0, -1, -4,  -100
8872, 414, 0, 0, -1, 5,  -102
8972, 104, 0, 0, -1, 5,  -106
9072, -215, 0, 0, -1, -4,  -99
9173, -516, 0, 0, -1, -4,  -99
9272, -762, 0, 0, -1, -4,  -99
9371, -934, 0, 0, -1, -13,  -92
9470, -1017, 0, 0, -1, 5,  -97
9569, -1003, 0, 0, -1, 2,  -104
9669, -890, 0, 0, -1, 11,  -101
9770, -689, 0, 0, -1, 2,  -103
9870, -421, 0, 0, -1, 5,  -104
